Timestamp,Frame,ID,YOLO_Conf,Flicker_Score,Growth_Score,FINAL_SCORE,Alarm
10:29:02.484,3,None,0.00,0.00,0.00,0.00,NO
10:29:02.608,6,None,0.00,0.00,0.00,0.00,NO
10:29:02.665,9,None,0.00,0.00,0.00,0.00,NO
10:29:02.703,12,None,0.00,0.00,0.00,0.00,NO
10:29:02.738,15,None,0.00,0.00,0.00,0.00,NO
10:29:02.773,18,None,0.00,0.00,0.00,0.00,NO
10:29:02.808,21,None,0.00,0.00,0.00,0.00,NO
10:29:02.843,24,None,0.00,0.00,0.00,0.00,NO
10:29:02.877,27,None,0.00,0.00,0.00,0.00,NO
10:29:02.925,30,None,0.00,0.00,0.00,0.00,NO
10:29:02.959,33,None,0.00,0.00,0.00,0.00,NO
10:29:02.993,36,None,0.00,0.00,0.00,0.00,NO
10:29:03.029,39,None,0.00,0.00,0.00,0.00,NO
10:29:03.063,42,None,0.00,0.00,0.00,0.00,NO
10:29:03.096,45,None,0.00,0.00,0.00,0.00,NO
10:29:03.131,48,None,0.00,0.00,0.00,0.00,NO
10:29:03.165,51,None,0.00,0.00,0.00,0.00,NO
10:29:03.199,54,None,0.00,0.00,0.00,0.00,NO
10:29:03.234,57,None,0.00,0.00,0.00,0.00,NO
10:29:03.268,60,None,0.00,0.00,0.00,0.00,NO
10:29:03.301,63,None,0.00,0.00,0.00,0.00,NO
10:29:03.335,66,0,0.45,0.00,0.00,0.18,NO
10:29:03.335,66,1,0.44,0.00,0.00,0.18,NO
10:29:03.369,69,0,0.43,0.00,0.00,0.17,NO
10:29:03.369,69,1,0.42,0.00,0.00,0.17,NO
10:29:03.404,72,0,0.44,0.00,0.00,0.18,NO
10:29:03.404,72,1,0.43,0.00,0.00,0.17,NO
10:29:03.438,75,0,0.45,0.00,0.00,0.18,NO
10:29:03.438,75,1,0.44,0.00,0.00,0.18,NO
10:29:03.472,78,0,0.41,0.00,0.00,0.16,NO
10:29:03.506,81,0,0.40,0.00,0.00,0.16,NO
10:29:03.540,84,0,0.41,0.00,0.00,0.16,NO
10:29:03.573,87,0,0.42,0.00,0.00,0.17,NO
10:29:03.573,87,2,0.40,0.00,0.00,0.16,NO
10:29:03.607,90,0,0.42,0.00,0.00,0.17,NO
10:29:03.607,90,2,0.41,0.00,0.00,0.16,NO
10:29:03.641,93,0,0.42,0.00,0.00,0.17,NO
10:29:03.641,93,2,0.41,0.00,0.00,0.16,NO
10:29:03.674,96,0,0.41,0.00,0.00,0.16,NO
10:29:03.709,99,0,0.41,0.00,0.00,0.16,NO
10:29:03.709,99,3,0.40,0.00,0.00,0.16,NO
10:29:03.743,102,0,0.41,0.00,0.00,0.16,NO
10:29:03.776,105,0,0.42,0.00,0.00,0.17,NO
10:29:03.776,105,4,0.41,0.00,0.00,0.17,NO
10:29:03.809,108,None,0.00,0.00,0.00,0.00,NO
10:29:03.844,111,5,0.41,0.00,0.00,0.16,NO
10:29:03.877,114,None,0.00,0.00,0.00,0.00,NO
10:29:03.910,117,None,0.00,0.00,0.00,0.00,NO
10:29:03.944,120,None,0.00,0.00,0.00,0.00,NO
10:29:03.977,123,None,0.00,0.00,0.00,0.00,NO
10:29:04.010,126,None,0.00,0.00,0.00,0.00,NO
10:29:04.046,129,6,0.40,0.00,0.00,0.16,NO
10:29:04.079,132,None,0.00,0.00,0.00,0.00,NO
10:29:04.112,135,None,0.00,0.00,0.00,0.00,NO
10:29:04.146,138,None,0.00,0.00,0.00,0.00,NO
10:29:04.179,141,None,0.00,0.00,0.00,0.00,NO
10:29:04.212,144,None,0.00,0.00,0.00,0.00,NO
10:29:04.246,147,None,0.00,0.00,0.00,0.00,NO
10:29:04.279,150,None,0.00,0.00,0.00,0.00,NO
10:29:04.313,153,7,0.45,0.00,0.00,0.18,NO
10:29:04.313,153,8,0.43,0.00,0.00,0.17,NO
10:29:04.348,156,7,0.44,0.00,0.00,0.17,NO
10:29:04.348,156,8,0.42,0.00,0.00,0.17,NO
10:29:04.382,159,7,0.43,0.00,0.00,0.17,NO
10:29:04.382,159,8,0.41,0.00,0.00,0.17,NO
10:29:04.415,162,7,0.43,0.00,0.00,0.17,NO
10:29:04.415,162,8,0.41,0.00,0.00,0.16,NO
10:29:04.448,165,7,0.43,0.00,0.00,0.17,NO
10:29:04.448,165,8,0.41,0.00,0.00,0.16,NO
10:29:04.482,168,7,0.43,0.00,0.00,0.17,NO
10:29:04.482,168,8,0.41,0.00,0.00,0.16,NO
10:29:04.515,171,7,0.44,0.00,0.00,0.18,NO
10:29:04.515,171,8,0.42,0.00,0.00,0.17,NO
10:29:04.550,174,7,0.44,0.00,0.00,0.17,NO
10:29:04.550,174,8,0.42,0.00,0.00,0.17,NO
